future_break_up,future_break_down,pullback_pips,pullback_pct_of_range
1,0,9935899.999999965,47.388728847511295
1,0,7043600.000000006,33.59406299483006
1,0,7316900.000000023,68.5449571880921
1,0,21109500.000000115,103.72810896868967
1,0,21109500.000000115,120.46669824403298
1,0,21109500.000000115,124.53394530051733
1,0,2862899.9999999357,61.704420544430214
1,0,3403499.9999999125,102.0019780022157
1,0,2302599.999999948,98.98546986501565
1,0,2562299.999999959,89.50015718327627
1,0,2562299.999999959,65.98084153061704
1,0,3959900.000000052,117.33732369325887
1,0,2360599.9999999767,90.71903462588105
1,0,2431199.9999999534,78.405572755416
1,0,3920399.9999999357,99.00250006312999
1,0,4913500.000000058,202.10184271142447
1,0,5082100.000000064,209.03668970056603
1,0,5500599.999999977,140.30711151923444
1,1,8092100.000000064,151.78759003601695
1,1,15431799.99999993,280.5475766280041
1,1,22166100.000000007,273.9227147464791
1,0,16943099.999999978,171.31893465995316
1,0,10405900.00000011,67.43153747456653
1,1,21629300.000000075,119.37358573872811
1,1,21629300.000000075,122.10354580301393
1,0,13275099.999999948,88.16329512399153
1,0,11197600.000000093,114.48786373024271
1,0,12378200.00000007,126.55869783039996
1,0,7469700.000000011,75.74685135984764
1,0,7089400.000000023,63.31178109594882
1,0,15495599.999999978,101.5226164893332
1,0,18704900.000000052,151.1116317396709
1,1,22427799.99999999,300.2503447260259
1,0,14120000.0,91.12264126590787
1,0,31605800.00000002,168.97069751776235
1,0,24280200.00000004,108.25939236126617
1,0,22740899.999999966,86.03581278682178
1,0,23468500.00000006,256.8568864372632
1,0,32317400.000000052,397.6204830394809
1,0,27770000.0,383.53175151230687
1,0,15979299.99999993,68.08828855700146
1,0,8525100.000000093,80.70642141038248
1,0,6781200.000000099,100.2705939759573
1,0,5620800.000000018,85.15073473716056
1,0,5620800.000000018,90.93085708739157
1,0,4648699.999999953,238.0652429968688
1,0,4187500.0,214.44666359399358
1,0,4536299.999999901,152.57811711680452
1,0,4536299.999999901,97.58211973239716
1,1,6381899.999999878,137.28354163529463
1,0,5158800.000000047,94.25392359271426
1,0,9049100.000000035,192.46442776017335
1,0,9834000.000000088,138.91203932592182
1,1,9834000.000000088,182.99218459248095
1,0,8884299.99999993,97.8792085316411
1,0,8884299.99999993,97.8792085316411
1,0,6316499.999999942,102.50064909775473
1,0,10603299.999999871,52.795550620652044
1,0,10479599.999999918,54.52331897359032
1,1,23294900.000000052,219.69481199249606
1,1,32645400.000000082,244.34996744036505
1,1,32645400.000000082,202.17625565120545
1,0,7633000.000000029,94.4608073657903
1,1,17320899.999999966,294.09297745177565
1,1,17320899.999999966,412.62834409318907
1,0,6106100.000000006,49.88888344199874
1,0,7084300.000000075,86.49938949939042
1,1,12260500.00000003,149.70085470085505
1,1,26634400.000000022,216.77423555551988
1,1,26634400.000000022,299.76814856499743
1,0,20079899.999999907,160.8167416828158
1,0,8667899.999999937,47.48311393778003
1,0,11452299.999999959,63.34411902984031
1,0,7660599.999999977,42.37174700627777
1,0,7660599.999999977,50.71095694540049
1,0,14925700.00000007,123.69843032603578
1,1,17851499.99999994,155.87698540904452
1,1,17851499.99999994,233.03004986554572
1,0,8394700.000000011,47.025179956866594
1,0,7334799.999999959,45.04077421890338
1,0,6922700.000000041,60.87013866296187
1,0,10952899.999999937,82.86101192277314
1,1,14695999.999999912,179.2938535490307
1,1,22319599.999999918,249.16385719707904
1,0,20324499.99999997,138.29953728905886
1,0,11565599.999999978,78.69896570495405
